customerid,urban,frequency,menu,partysize,monthlybasepayment,tenure,monthlyaddons,rating,churn
cid0000001,0,twice-a-week,convenience,4,199.99001,6,23,5,0
cid0000002,0,twice-a-week,convenience,5,222.99001,5,35,4,0
cid0000003,1,once-a-month,healthy,5,57.990002,38,23,4,0
cid0000004,0,once-a-week,convenience,5,155.99001,1,59,4,0
cid0000005,1,once-a-month,ethnic,3,40.990002,5,54,4,0
cid0000006,1,once-a-month,ethnic,2,32.990002,2,0,2,1
cid0000007,1,once-a-week,convenience,4,139.99001,3,44,3,0
cid0000008,1,once-a-month,convenience,4,39.990002,20,0,2,0
cid0000009,1,once-a-month,convenience,3,33.990002,11,0,1,0
cid0000010,0,once-a-week,ethnic,4,167.99001,15,26,4,0
cid0000011,1,once-a-week,convenience,5,155.99001,50,0,1,0
cid0000012,1,once-a-month,convenience,5,43.990002,6,0,2,0
cid0000013,0,twice-a-week,ethnic,6,292.98999,29,0,2,1
cid0000014,0,once-a-month,convenience,5,43.990002,14,37,4,0
cid0000015,0,once-a-month,convenience,2,27.99,30,0,1,0
cid0000016,0,once-a-month,convenience,3,33.990002,4,58,5,0
cid0000017,1,once-a-month,convenience,3,33.990002,3,32,2,0
cid0000018,1,once-a-week,convenience,5,155.99001,3,0,2,0
cid0000019,0,once-a-month,convenience,6,47.990002,40,21,4,0
cid0000020,1,once-a-month,convenience,2,27.99,1,0,1,1
cid0000021,1,once-a-month,convenience,5,43.990002,45,25,4,0
cid0000022,0,twice-a-week,healthy,4,259.98999,6,0,4,0
cid0000023,1,once-a-month,ethnic,4,47.990002,1,0,2,0
cid0000024,1,once-a-month,convenience,3,33.990002,47,20,2,0
cid0000025,0,once-a-month,convenience,5,43.990002,47,10,5,0
cid0000026,0,once-a-month,convenience,2,27.99,12,0,2,0
cid0000027,1,once-a-week,convenience,4,139.99001,3,0,4,0
cid0000028,0,once-a-week,healthy,2,127.99,29,5,5,0
cid0000029,1,once-a-month,convenience,2,27.99,27,0,4,0
cid0000030,1,once-a-month,convenience,6,47.990002,6,0,2,0
cid0000031,1,once-a-month,convenience,6,47.990002,1,71,5,0
cid0000032,1,once-a-month,convenience,3,33.990002,6,0,4,0
cid0000033,0,once-a-month,convenience,5,43.990002,10,0,4,0
cid0000034,1,once-a-month,convenience,2,27.99,22,42,3,0
cid0000035,1,once-a-month,ethnic,4,47.990002,4,24,3,0
cid0000036,0,once-a-month,convenience,2,27.99,16,0,4,0
cid0000037,0,once-a-month,convenience,5,43.990002,7,57,4,0
cid0000038,1,once-a-month,convenience,3,33.990002,3,25,4,0
cid0000039,1,once-a-month,ethnic,5,52.990002,8,8,1,1
cid0000040,0,once-a-month,convenience,6,47.990002,33,8,3,0
cid0000041,1,once-a-month,convenience,5,43.990002,8,0,3,0
