"","customerid","urban","frequency","menu","partysize","monthlybasepayment","tenure","monthlyaddons","rating","churn","churn_prediction","addons_prediction"
"1","cid0000001",0,"twice-a-week","convenience",4,199.99001,6,23,5,0,0.0274377106701859,29.1426909941616
"2","cid0000002",0,"twice-a-week","convenience",5,222.99001,5,35,4,0,0.129331581751795,23.273489526073
"3","cid0000003",1,"once-a-month","healthy",5,57.990002,38,23,4,0,0.0203581070351937,22.998990241841
"4","cid0000004",0,"once-a-week","convenience",5,155.99001,1,59,4,0,0.161557599073849,23.6380081189519
"5","cid0000005",1,"once-a-month","ethnic",3,40.990002,5,54,4,0,0.0182950161504272,22.2655174093852
"6","cid0000006",1,"once-a-month","ethnic",2,32.990002,2,0,2,1,0.123536855538736,7.62837602053904
"7","cid0000007",1,"once-a-week","convenience",4,139.99001,3,44,3,0,0.0633545515127651,16.8092726458409
"8","cid0000008",1,"once-a-month","convenience",4,39.990002,20,0,2,0,0.114436321689447,9.30501716002561
"9","cid0000009",1,"once-a-month","convenience",3,33.990002,11,0,1,0,0.241135862600555,1.60633540148627
"10","cid0000010",0,"once-a-week","ethnic",4,167.99001,15,26,4,0,0.0791471043132757,22.4827885359818
"11","cid0000011",1,"once-a-week","convenience",5,155.99001,50,0,1,0,0.241640272689677,3.41163366438211
"12","cid0000012",1,"once-a-month","convenience",5,43.990002,6,0,2,0,0.258562131431036,10.472604969421
"13","cid0000013",0,"twice-a-week","ethnic",6,292.98999,29,0,2,1,0.304816631786781,10.2113018974789
"14","cid0000014",0,"once-a-month","convenience",5,43.990002,14,37,4,0,0.0636613267877426,23.0441180785356
"15","cid0000015",0,"once-a-month","convenience",2,27.99,30,0,1,0,0.124980729927857,0
"16","cid0000016",0,"once-a-month","convenience",3,33.990002,4,58,5,0,0.0141908597494417,28.0969090485761
"17","cid0000017",1,"once-a-month","convenience",3,33.990002,3,32,2,0,0.098234593321077,8.57288921670083
"18","cid0000018",1,"once-a-week","convenience",5,155.99001,3,0,2,0,0.285033415241307,10.9260240852984
"19","cid0000019",0,"once-a-month","convenience",6,47.990002,40,21,4,0,0.0168454926765658,23.6498221897754
"20","cid0000020",1,"once-a-month","convenience",2,27.99,1,0,1,1,0.202201734701518,0.77587781098426
"21","cid0000021",1,"once-a-month","convenience",5,43.990002,45,25,4,0,0.0158007059079885,23.6331225148862
"22","cid0000022",0,"twice-a-week","healthy",4,259.98999,6,0,4,0,0.0753715658058977,21.5560519983558
"23","cid0000023",1,"once-a-month","ethnic",4,47.990002,1,0,2,0,0.334087557496364,9.58428014307476
"24","cid0000024",1,"once-a-month","convenience",3,33.990002,47,20,2,0,0.0328103879725333,7.95481714872967
"25","cid0000025",0,"once-a-month","convenience",5,43.990002,47,10,5,0,0.00234460793099114,29.4347411031407
"26","cid0000026",0,"once-a-month","convenience",2,27.99,12,0,2,0,0.138477384924624,6.45107256715378
"27","cid0000027",1,"once-a-week","convenience",4,139.99001,3,0,4,0,0.0209192535300463,23.6634497214243
"28","cid0000028",0,"once-a-week","healthy",2,127.99,29,5,5,0,0.00118138498504696,26.4536191404813
"29","cid0000029",1,"once-a-month","convenience",2,27.99,27,0,4,0,0.00183159844442507,20.9731846339334
"30","cid0000030",1,"once-a-month","convenience",6,47.990002,6,0,2,0,0.393669675341448,11.4435334844619
"31","cid0000031",1,"once-a-month","convenience",6,47.990002,1,71,5,0,0.0485728635399818,32.0763001734817
"32","cid0000032",1,"once-a-month","convenience",3,33.990002,6,0,4,0,0.00767680349759256,22.239102090506
"33","cid0000033",0,"once-a-month","convenience",5,43.990002,10,0,4,0,0.0843565946797905,23.1003064483512
"34","cid0000034",1,"once-a-month","convenience",2,27.99,22,42,3,0,0.00853304192245375,14.1892430206194
"35","cid0000035",1,"once-a-month","ethnic",4,47.990002,4,24,3,0,0.127673703431351,16.3963159412965
"36","cid0000036",0,"once-a-month","convenience",2,27.99,16,0,4,0,0.00965985449599416,20.1032383485051
"37","cid0000037",0,"once-a-month","convenience",5,43.990002,7,57,4,0,0.103706370496236,23.1424477257128
